Material,Absorbing element,Oxidation state,Coordination number,Average bond length (angstrom),Spectral shape group,Data source,Featured example
Ac2O3,Ac,3.0,7,2.6261,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ag2O,Ag,1.0,2,2.0585,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ag2O,Ag,1.0,2,2.1776,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ag2O3,Ag,3.0,6,2.2112,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ag2O3,Ag,3.0,4,2.0147,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ag2O3,Ag,2.5,6,2.2383,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ag3O,Ag,,2,2.3042,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Ag3O4,Ag,2.6666666666666665,5,2.0472,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
AgO,Ag,2.0,4,2.1301,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
AgO,Ag,1.0,5,2.4073,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O,Al,,4,2.4645,10,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9312,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9445,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.8997,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.8592,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.8723,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.8983,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,4,1.8405,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9593,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9323,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.8986,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.8847,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,4,1.792,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.921,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.8703,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,4,1.7632,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,4,1.8187,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9137,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.857,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.8558,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9129,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9017,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,5,1.8921,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9135,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9171,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,1.9745,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Al2O3,Al,3.0,6,2.0015,2,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
AlO,Al,,6,2.2383,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
AlO3,Al,3.0,6,1.8573,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Au2O3,Au,3.0,4,2.0227,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Au3O,Au,,2,2.3965,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
BaO,Ba,2.0,6,2.7727,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
BaO,Ba,2.0,6,2.7618,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
BaO,Ba,2.0,6,2.7904,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
BaO2,Ba,2.0,10,2.7018,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
BeO,Be,2.0,4,1.6444,3,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
BeO,Be,2.0,6,1.8246,1,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
BeO,Be,2.0,4,1.647,9,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Bi13O20,Bi,3.076923076923077,5,2.3247,8,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Bi25O38,Bi,,5,2.2972,,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
Bi2O3,Bi,3.0,6,2.4201,4,"Computed (Materials Project, DFT + FEFF) -- not a lab measurement",No
